,Number,Name,Website,Description,City,Country,Sector,Sub-Sector
6516,1103,CricTrac,http://crictrac.com,Fantasy cricket gaming platform,Bangalore,India,Fans & Content,Fantasy Sports & Betting
2473,1104,Cricadium,http://cricadium.com,Digital cricket news platform,Delhi NCR,India,Fans & Content,Content Platforms
785,1105,Cricbuzz,http://cricbuzz.com,"News, live scores and content for Cricket",Bangalore,India,Fans & Content,Content Platforms
5283,1106,Cricgram,http://cricgram.com,Cricgram provides latest Cricket News and Match Previews,Jaipur,India,Fans & Content,Fantasy Sports & Betting
2507,1107,Cricingif,http://cricingif.com,Live cricket news and scores platform,Lahore,Pakistan,Fans & Content,Content Platforms
5340,1108,Cricinshots,http://cricinshots.com,A cricket strategy game,Pune,India,Fans & Content,Fantasy Sports & Betting
2048,1109,Cricket API,http://cricketapi.com,"Cricket data API for historical, live and fantasy data",Chennai,India,Activity & Performance,For Activity Software
4253,1110,Cricket Addictor,http://cricketaddictor.com,Circket news and content platform,Delhi NCR,India,Fans & Content,Content Platforms
79,1111,Cricket Betting,http://cricket-betting.com,Cricket Betting operates as a specialist cricket blog.,Beijing,China,Fans & Content,Fantasy Sports & Betting
2845,1112,Cricket Exchange,http://cricketexchange.in,Mobile app for cricket live scores and news,Delhi NCR,India,Fans & Content,Content Platforms
2915,1113,Cricket Graph,http://cricketgraph.com,Cricket news and content platform,Mumbai,India,Fans & Content,Content Platforms
339,1114,Cricket Social,http://cricketsocial.com,Social community for cricket fans,Chennai,India,Fans & Content,Fan Experiences
4108,1115,Cricket Tracker Networks,http://crictracker.com,Cricket news and live scores app,Bangalore,India,Fans & Content,Content Platforms
507,1116,CricketBio,http://cricketbio.com,Live cricket news platform,Bhiwandi,India,Fans & Content,Content Platforms
4361,1117,CricketHuddle,http://crickethuddle.com,Digital management solutions for cricket teams,Houston,USA,Management & Organisation,Organisations & Venues
3648,1118,CricketLocal,http://cricketlocal.com,Software to manage local cricket tournaments,Delhi NCR,India,Management & Organisation,Organisations & Venues
6600,1119,Cricketlnc,http://cricketinc.com,Fantasy cricket gaming platform,Bangalore,India,Fans & Content,Fantasy Sports & Betting
2003,1120,Crickpe,http://crickpe.com,Real Cricket Fantasy League,Delhi NCR,India,Fans & Content,Fantasy Sports & Betting
5295,1121,Crickslab,http://crickslab.com,Cricket tracking and scoring solution,Dubai,UAE,Activity & Performance,For Activity Software
2993,1122,Cricviz,http://cricviz.com,Cricket scores and prediction providing cricket intelligence,London,UK,Fans & Content,Content Platforms
5847,1123,Crikit,http://Crikit.io,Fantasy cricket gaming platform,Boston,USA,Fans & Content,Fantasy Sports & Betting
3824,1124,Crion,http://crion.org,Booking platform for mountain/adventure sports,Lugano,Switzerland,Activity & Performance,Before / After Activity
4145,1125,Cronometer,http://cronometer.com,App to track nutrition and fitness data,Revelstoke,Canada,Activity & Performance,For Activity Software
5893,1126,CrossRoads Shooting Sports,http://crossroadsshooting.com,Online booking platform for shooting,Johnston,USA,Activity & Performance,Before / After Activity
341,1127,Crossbar,http://crossbar.org,SaaS platform for the management of youth sports organizations,St. Charles,USA,Management & Organisation,Organisations & Venues
811,1128,Crosscourt,http://cross-court.com,A basketball inspired social club,Los Angeles,USA,Activity & Performance,Before / After Activity
170,1129,Crossover Exposure,http://crossoverexposure.com,"Recruiting and exposure platform, which gives international and domestic student athletes",Atlanta,USA,Activity & Performance,Before / After Activity
4499,1130,Crowd Convergence,http://crowdconvergence.com,Real-time audience engagement platform,Sydney,Australia,Management & Organisation,Media & Sponsors
5070,1131,Crowd Seats,http://crowdseats.com,Booking platform for sports events,Los Angeles,USA,Activity & Performance,Before / After Activity
1801,1132,CrowdFlik,http://crowdflik.com,An end-to-end video platform for mobile apps and websites,Stamford,USA,Management & Organisation,Media & Sponsors
3086,1133,CrowdIQ,http://crowdiq.ai,CrowdIQ uses computer vision to provide actionable insights on the composition and behavior of crowds,Minneapolis,USA,Management & Organisation,Organisations & Venues
1799,1134,CrowdPlay,http://crowdplayapp.com,The leading Engagement Program for Sports Properties that maximizes revenue through direct sales and sponsorships.,Boston,USA,Fans & Content,Fan Experiences
3932,1135,Crowdsline,http://thecrowdsline.com,Fantasy sports prediction game,New York City,USA,Fans & Content,Fantasy Sports & Betting
6057,1136,Crowdsync,https//crowdsynctechnology.com,Enhancing fan and audience experience by using wireless LED technology,New York City,USA,Fans & Content,Fan Experiences
4365,1137,Crown Sports,http://gocrownsports.com,Mobile App that connects sports people and incentivizes physical activity.,Sao Paulo,Brazil,Activity & Performance,Before / After Activity
906,1138,CruitCast,http://cruitcast.com,Live streaming video helping coaches and players with recruitment,Harrington,USA,Activity & Performance,Before / After Activity
4199,1139,Crumb,http://crumbup.com,App providing rewards for completing fitness goals,Hamburg,Germany,Activity & Performance,For Activity Software
3543,1140,Crycto,http://crycto.io,Fantasy Cricket on the Blockchain,Chennai,India,Fans & Content,Fantasy Sports & Betting
4709,1141,Crypt2 eSports,http://crypt2esports.com,"Crypt2 esports is a play-to-earn platform that lets anyone become a virtual athlete, grow a fan base and compete in games for cash rewards.",London,UK,Fans & Content,Fantasy Sports & Betting
1680,1142,CryptoWager,http://cryptowager.co,Platform to bet on sports on the blockchain,-,-,Fans & Content,Fantasy Sports & Betting
61,1143,Cuadrala,http://cuadrala.com,Sports booking and discovery platform,Caracas,Venezuela,Activity & Performance,Before / After Activity
2256,1144,CubeFit,http://getcubefit.com,Products that help office workers to stay fit and healthy,Reston,USA,Activity & Performance,Before / After Activity
3732,1145,Cubee Technology,http://en.cubee.com,Global service provider in multisports based on AI and Big Data,Shanghai,China,Fans & Content,Fan Experiences
4928,1146,Cubios Inc.,http://wowcube.com,"A puzzle cube with tangible interface where virtual gameplay is controlled by physically tilting, twisting shaking",Novato,USA,Activity & Performance,For Activity Hardware
3612,1147,Cuckoo Workout,http://cuckooworkout.com,App based fitness tutorials and videos,Espoo,Finland,Activity & Performance,For Activity Software
3321,1148,Cue Audio,http://cueaudio.com,Interactive solutions to connect brand and audience at live events,Denver,USA,Fans & Content,Fan Experiences
1204,1149,CueScore,http://cuescore.com,Billiards tournament management software,Asker,Norway,Management & Organisation,Organisations & Venues
93,1150,Cult.fit,http://cult.fit,"Health and fitness company offering digital and offline experiences across fitness and gyms, nutrition, and mental well-bein",Bangalore,India,Activity & Performance,For Activity Software
6400,1151,Cup Manager,http://cupmanager.net,Tournament management and operations software,Lund,Sweden,Management & Organisation,Organisations & Venues
4990,1152,Curse,http://curse.com,News and content platform for Esports,San Francisco,USA,Fans & Content,Content Platforms
5781,1153,Curv Health,http://curvhealth.com,Fitness & healthcare center management platform,Halifax,Canada,Management & Organisation,Organisations & Venues
512,1154,Curv Labs,http://curv.ai,AI powered tools for building and tracking athletic talent,Toronto,Canada,Activity & Performance,For Activity Software
1537,1155,CyberTime Finance,http://cybertime.finance,DeFi + NFT Fantasy League community-driven ecosystem,Moscow,Russia,Fans & Content,Fantasy Sports & Betting
4101,1156,Cyberfishing,http://cyberfishing.com,"Sensor and platform for analytics, sharing sportfishing data",Miami,USA,Activity & Performance,For Activity Hardware
4834,1157,Cybershoes,http://cybershoes.io,VR wearables for activity tracking,Vienna,Austria,Activity & Performance,For Activity Hardware
6474,1158,Cyborg,http://cyborg.io,All in one social fitness platform,Manchester,USA,Fans & Content,Fan Experiences
4683,1159,Cycle.Land,http://cycle.land,Cycle sharing and booking platform,Oxford,UK,Activity & Performance,Before / After Activity
2979,1160,Cycles,http://cycles.com.ng,Bike share app building a cycling community,Lagos,Nigeria,Activity & Performance,Before / After Activity
567,1161,CyclingFever,http://cyclingfever.com,Cycling results and news portal,Arnhem,The Netherlands,Fans & Content,Content Platforms
5086,1162,Cyclingnews,http://cyclingnews.com,Cycling results and news portal,Bath,UK,Fans & Content,Content Platforms
5615,1163,Cycliq,http://cycliq.com,Cycliq is the maker of the award-winning Fly6 and Fly12 bicycle safety devices.,Perth,Australia,Activity & Performance,For Activity Hardware
3898,1164,Cyclique,http://getcyclique.com,App to discover cyclists near you,Hamburg,Germany,Activity & Performance,Before / After Activity
4349,1165,Cyclo Power Factory,http://cyclopowerfactory.com,Social and evnironmental fitness experiences,Paris,France,Activity & Performance,For Activity Software
1412,1166,Cyclosport,http://cyclosport.org,Cycling news portal,London,UK,Fans & Content,Content Platforms
1563,1167,Cykul,http://cykul.com,Corporate sports booking platform,Hyderabad,India,Activity & Performance,Before / After Activity
3283,1168,D-Fetch,http://d-fetch.com,Gym operations management provider,Oslo,Norway,Management & Organisation,Organisations & Venues
2449,1169,D1 Sports Training,http://d1sportstraining.com,Online elite athlete training platform,Franklin,USA,Activity & Performance,For Activity Software
5488,1170,D1Scout,http://D1Scout.com,Youth tournament and website management software,Ardsley,USA,Management & Organisation,Organisations & Venues
730,1171,D2D Sports,http://d2dsports.com,Sports events management software,Singapore,Singapore,Management & Organisation,Organisations & Venues
4336,1172,D3 Golf - Dollar Dollar Dollar,http://D3Golf.com,Social platform to connect with golfers,Grass Valley,USA,Fans & Content,Fan Experiences
6234,1173,DAIMANI,http://daimani.com,The DAIMANI marketplace connects official providers of VIP Hospitality packages with corporate or individual customers.,Zurich,Switzerland,Fans & Content,Fan Experiences
5973,1174,DASH Platform,http://dashplatform.com,Customer and facilities management software,Seattle,USA,Management & Organisation,Organisations & Venues
2704,1175,DASHR,http://beta.dashrtheapp.com,AI based tennis coach,Berlin,Germany,Activity & Performance,Before / After Activity
5165,1176,DAZN,http://dazn.com,OTT platform for sports,London,UK,Fans & Content,Content Platforms
3480,1177,DB Sports Tours,http://dbsportstours.ie,Youth football tournaments listing and event organisers,Dublin,Ireland,Fans & Content,Content Platforms
1686,1178,DB4Tennis,http://db4tennis.com,Grandslam tennis database and images,Horsham,UK,Fans & Content,Content Platforms
1262,1179,DC Bike Ride,http://dcbikeride.com,Social cycling platform,Washington D.C.,USA,Fans & Content,Fan Experiences
5554,1180,DFSgold,http://dfsgold.com,"Daily fantasy sports strategy, tips and tools",Atlanta,USA,Fans & Content,Fantasy Sports & Betting
5784,1181,DIRECTV Sports Networks,http://rootsports.com,TV schedule for Northwest America,Bellevue,USA,Fans & Content,Content Platforms
6148,1182,DLive.tv,http://dlive.tv,DLive.tv is a live streaming community on the blockchain.,Cupertino,USA,Fans & Content,Content Platforms
1183,1183,DMC Sport,http://dmcsport.com.au,Platform for teams to license their merchandise,Richmond,Australia,Management & Organisation,Organisations & Venues
759,1184,DMarket,http://dmarket.com,Marketplace for trading in gaming items,Santa Monica,USA,Fans & Content,Fan Experiences
1516,1185,DOOgether,http://doogether.id,Fitness classes booking platform,Jakarta,Indonesia,Activity & Performance,Before / After Activity
4301,1186,DP&L Golf,http://dpandlgolf.com,Golf experiences booking platform,Dundee,UK,Activity & Performance,Before / After Activity
4236,1187,DRAFT,http://Draft.com,Daily fantasy sports platform,New York City,USA,Fans & Content,Fantasy Sports & Betting
5485,1188,DRIVN,http://drivn.today,Mobile operating system for elite sports teams,Boston,USA,Management & Organisation,Organisations & Venues
1403,1189,DRXVE,http://drxve.com,"DRXVE is aÂ¬â€ fitness brand that uses functional training, rigorous workout regimens, & motivational products to help you achieve your goals.",Pasadena,USA,Activity & Performance,For Activity Software
5224,1190,DUPLAYS,http://duplays.com,DUPLAYS builds sport communities.,Dubai,UAE,Management & Organisation,Organisations & Venues
6186,1191,DUPR,http://mydupr.com,Global rating system for pickleball players,Austin,USA,Activity & Performance,Before / After Activity
1709,1192,DVOX,http://dvox.ca,Real-time audio webcasting for events,Montreal,Canada,Management & Organisation,Organisations & Venues
5571,1193,DaVinci Wearables,http://davinciwearables.com,Davinci Wearables develops smart undergarments that capture data to inform lifestyle awareness.,Cambridge,USA,Activity & Performance,For Activity Hardware
3206,1194,Dafa Snooker,http://dafasnooker.com,Snooker news and results portal,Caterham,UK,Fans & Content,Content Platforms
2532,1195,Daily E-Sports,http://ttdianjing.com,Esports event organiser,Haidian,China,Management & Organisation,Organisations & Venues
5665,1196,Daily Faceoff,http://dailyfaceoff.com,Daily fantasy sports news and tips,Toronto,Canada,Fans & Content,Fantasy Sports & Betting
6453,1197,Daily Fantasy 101,http://dailyfantasysports101.com,Daily fantasy sports strategy and tips,Atlanta,USA,Fans & Content,Fantasy Sports & Betting
489,1198,Daily Fantasy Rankings,http://dailyfantasyrankings.com.au,Daily fantasy sports platform,Canberra,Australia,Fans & Content,Fantasy Sports & Betting
3965,1199,Daily Number,http://dailynumber.app,Daily fantasy sports platform,Austin,USA,Fans & Content,Fantasy Sports & Betting
468,1200,Daily Yoga,http://dailyyoga.com,Free yoga app for beginners,Xian Shi,China,Activity & Performance,For Activity Software
1199,1201,DailyBurn,http://dailyburn.com,Online fitness tutorials and videos,New York City,USA,Activity & Performance,For Activity Software
6609,1202,DailyDrill,http://getdailydrill.com,Fitness training platform,Washington D.C.,USA,Activity & Performance,For Activity Software
1146,1203,Dance,http://dance.co,Electronic bike booking platform,Berlin,Germany,Activity & Performance,For Activity Hardware
2377,1204,Dank-1,http://dank-1.com,Golf swing analyser,Settsu,Japan,Activity & Performance,For Activity Software
3559,1205,Danu Sport,http://danusport.com,Gait analysis system for injury & performance management in the sports industry.,Dublin,Ireland,Activity & Performance,For Activity Software
2441,1206,Danu Sports,http://danusports.com,Wearable system is a ground-breaking solution that bridges the gap between the laboratory and real-world movement analysis in sports and medicine.,Dublin,Ireland,Activity & Performance,For Activity Hardware
5865,1207,Dapper Labs,http://dapperlabs.com,Blockchain product made for games and digital collectibles,Vancouver,Canada,Fans & Content,Fan Experiences
3973,1208,Darimtion,http://darimotion.com,Performance motion analytics software,Overland Park,USA,Activity & Performance,For Activity Software
5187,1209,Darius,http://dairus.com,"Applying generative AI in sports training to enhances coaches' expertise with personalized and optimized drills, boosting team success and operational efficiency",San Francisco,USA,Activity & Performance,For Activity Software
1289,1210,DarkHorse,http://thedarkhorse.io,Esports performance analytics platform,Redwood City,USA,Activity & Performance,For Activity Software
1072,1211,Dartfish,http://dartfish.com,Video and data analytics driven training and strategy,Fribourg,Switzerland,Activity & Performance,For Activity Software
3390,1212,Darts Matek,http://dartsmatek.hu,Online app to learn darts,Szekesfehervar,Hungary,Activity & Performance,For Activity Software
237,1213,Dash,http://tiendadash.com.ar,Dash is a sports retail company selling a wide variety of top-of-the-line brand products for the whole family.,Buenos Aires,Argentina,Fans & Content,Fan Experiences
2976,1214,DashTag,http://getdashtag.com,Football tracking platform for apple watch,Eindhoven,The Netherlands,Activity & Performance,For Activity Software
5994,1215,Data Skrive,http://dataskrive.com,Automated content for Sportsbooks and sports media,Seattle,USA,Fans & Content,Content Platforms
1579,1216,Data Sports Group,http://datasportsgroup.com,Live sports data to media publishers & gaming segments,Berlin,Germany,Management & Organisation,Media & Sponsors
3524,1217,Data Talks,http://datatalks.se,"CRM solution to engage fans and enhance ticketing, merchandising and sponsorships",Stockholm,Sweden,Fans & Content,Fan Experiences
1396,1218,Data+Sports,http://dataplussports.com,"Data+Sports is a Web3 Content Discovery and Social Platform for Sports Wagerers, Creators, Sportsbooks and Brands.",New York City,USA,Fans & Content,Fantasy Sports & Betting
1942,1219,Data4Sports,http://data4sports.fr,Data analytics software for professional sports teams,Paris,France,Management & Organisation,Organisations & Venues
426,1220,DataStadium,http://datastadium.co.jp,Data creative and tech initiative for Sports,Tokyo,Japan,Activity & Performance,For Activity Software
2288,1221,Datamate,http://datamate.tv,Video launching platform for community engagement,Melbourne,Australia,Management & Organisation,Media & Sponsors
3889,1222,Dawn Patrol,http://dawnpatrol.cloud,Surfing sessions and activity tracker,Den Haag,The Netherlands,Activity & Performance,For Activity Software
3074,1223,DayerMalab,http://dyermalab.com,"DayerMalab is a app that helps people book sports feilds, organize matches and find local partners fast.",Khartoum,Sudan,Activity & Performance,Before / After Activity
4751,1224,Dazzl Tv,http://site.dazzl.tv,"Capture, produce and distribute live sports",Cesson-Sevigne,France,Management & Organisation,Media & Sponsors
5164,1225,Ddsportsanalytics,http://ddsportsanalytics.com,Data driven sports analytics platform,Melbourne,Australia,Activity & Performance,For Activity Software
5726,1226,De Aventura,http://deaventura.pe,Discover and book adventure activities,Lima,Peru,Activity & Performance,Before / After Activity
2113,1227,DeWiz Golf,http://dewizgolf.com,Wearable tech that analyzes & modifies golf swings via buzz-worthy feedback,Malmo,Sweden,Activity & Performance,For Activity Hardware
80,1228,Deadspin,http://deadspin.com,Live sports news and results portal,New York City,USA,Fans & Content,Content Platforms
2351,1229,Decade Golf (Formerly BirdieFire),http://decade.golf,Statistics program for college and high school golf,Nashville,USA,Activity & Performance,For Activity Software
2750,1230,Decent.Bet,http://decent.bet,"Decent.Bet is a blockchain peer-to-peer platform where the community can explore its creativity by creating games, wagers or rooms.",Panama City,Panama,Fans & Content,Fantasy Sports & Betting
3675,1231,Decimal,http://decimalapp.com,A personal training booking system and management app,London,UK,Activity & Performance,Before / After Activity
5278,1232,Deed,http://getwearable.net,Multifunctional wearable to measure body mechanics with phone and payments functionality,Turin,Italy,Activity & Performance,Before / After Activity
3230,1233,Deemples,http://deemples.com,Golf games and course booking platform,Petaling Jaya,Malaysia,Activity & Performance,Before / After Activity
2656,1234,Deep Freeze Fishing,http://deepfreezefishing.com,Intelligent ice fishing accessories,Custer,USA,Activity & Performance,For Activity Hardware
6317,1235,DeepH,http://deeph.io,Fitness and meditation app,Vienna,Austria,Activity & Performance,For Activity Software
2259,1236,DeerLab,http://deerlab.com,Hunting software for trail management,Jacksonville,USA,Activity & Performance,For Activity Software
5400,1237,Defter Cantera,http://cantera.app,Sportstech SaaS - Cantera enables youth sports to unleash player potential through powerful feedback,Alajuela,Costa Rica,Activity & Performance,For Activity Software
5642,1238,Defter Sports,http://deftersports.com,Analytics driven feedback to drive player performance,Alajuela,Costa Rica,Activity & Performance,For Activity Software
3063,1239,Defy Athletix,http://defyathletix.com,Shooting practice equipment,Austin,USA,Activity & Performance,For Activity Hardware
4231,1240,Degens,http://degens.com,Ethereum based sports betting platform,San Jose,Costa Rica,Fans & Content,Fantasy Sports & Betting
6336,1241,Delasport,http://delasport.com,Sports betting software solutions provider,Plovdiv,Bulgaria,Fans & Content,Fantasy Sports & Betting
4156,1242,Delta Trainer,http://deltatrainer.fit,1-on-1 training to reach your fitness goals,Pittsburgh,USA,Activity & Performance,For Activity Software
4507,1243,Deltatre,http://deltatre.com,"Sports media services company that provides services for videos, webs, graphics, and sports businesses",Turin,Italy,Management & Organisation,Media & Sponsors
1921,1244,Demiplane,http://app.demiplane.com,"Demiplane is the place for Digital Tools, Content, and Services to Discover, Prep for gaming",Green Bay,USA,Activity & Performance,For Activity Software
5077,1245,Deporprive,http://deporprive.mx,Deporprive is a sports-specific flash sale website that provides members with access to sales from brand partners.,Mexico City,Mexico,Fans & Content,Fan Experiences
2598,1246,Deportare Tech,http://deportaretechnologies.com,Online fitness academy to develop fitness trainer specialists,Tokyo,Japan,Activity & Performance,For Activity Software
5147,1247,Deportec,http://deportec.es,Personalised fitness plans for athletes,Murcia,Spain,Activity & Performance,Before / After Activity
346,1248,Derby Jackpot,http://derbyjackpot.com,Horse races betting platform,Washington D.C.,USA,Fans & Content,Fantasy Sports & Betting
1907,1249,Desmotec,http://desmotec.com,Equipment solutions for sports training and recovery,Biella,Italy,Activity & Performance,Before / After Activity
852,1250,Deuce Tennis,http://deucetennis.com,Tennis venues booking platform,London,UK,Activity & Performance,Before / After Activity
3030,1251,Dexerto,http://dexerto.com,News and content for Esports,London,UK,Fans & Content,Content Platforms
2984,1252,Diamond Kinetics,http://diamondkinetics.com,Sensors to track baseball swing and pitch metrics,Pittsburgh,USA,Activity & Performance,For Activity Hardware
5672,1253,Diario AS,http://as.com,Football news portal,Madrid,Spain,Fans & Content,Content Platforms
4688,1254,Dibbs,http://dibbs.io,24/7 marketplace for sports trading cards,Santa Monica,USA,Fans & Content,Fan Experiences
458,1255,Dibs Technology,http://ondibs.com,Software solution that lets you maximize your studio's revenue & customers,New York City,USA,Management & Organisation,Organisations & Venues
6674,1256,Dibz,http://dibz.com,Sports games seats upgrades platform,London,Canada,Fans & Content,Fan Experiences
2888,1257,DiffZero,http://diffzero.com,Movement analysis platform,San Francisco,USA,Activity & Performance,For Activity Software
5608,1258,Diggin',http://diggin.ltd,Booking platform for dance venues,Hong Kong SAR,China,Activity & Performance,Before / After Activity
3479,1259,DigiFood,http://digifood.fr,Application for a new restaurant experience in sports grounds,Paris,France,Management & Organisation,Organisations & Venues
1650,1260,Digime3D,http://digime3d.com,Enables people to know and track all body mesaurements with AI powered algorithms,Istanbul,Turkey,Activity & Performance,For Activity Software
4334,1261,DigitaSport,http://digitasport.com,SaaS platform that helps sports teams and leagues build their own mobile app,Amman,Jordan,Fans & Content,Fan Experiences
883,1262,Digital Gameday,http://digitalgameday.com,Video analytics platform,Cobleskill,USA,Activity & Performance,For Activity Software
4477,1263,Digital Playbooks,http://DigitalPlaybooks.com,Digital playbook tools,Baltimore,USA,Activity & Performance,For Activity Software
4080,1264,Digital Seat Media,http://digitalseat.com,Fan engagement and connectivity platform,Fort Worth,USA,Fans & Content,Fan Experiences
3980,1265,Digme Fitness,http://digmefitness.com,Fitness operator that offers pay-as-you-go fitness classes,London,UK,Activity & Performance,Before / After Activity
5215,1266,Dimension,http://dimensionstudio.co,Immersive video production solutions,Sunderland,UK,Fans & Content,Fan Experiences
3654,1267,Dimensional Innovations,http://dimin.com,"Dimensional Innovations creates dynamic, engaging and interactive solutions for fans",Kansas City,USA,Fans & Content,Fan Experiences
4041,1268,Dimers,http://dimers.com,-,New York City,USA,Fans & Content,Fantasy Sports & Betting
4613,1269,DingIt.tv,http://dingit.tv,Esports streaming platform,London,UK,Fans & Content,Content Platforms
5375,1270,DirectAthletics,http://directathletics.com,Running event management software,New York City,USA,Management & Organisation,Organisations & Venues
1458,1271,Director11,http://director11.com,Online club management software,Madrid,Spain,Management & Organisation,Organisations & Venues
1225,1272,Dirt Rally,http://dirtrally.net,Virtual rally team manager game,Vilnius,Lithuania,Fans & Content,Fantasy Sports & Betting
4436,1273,Disc Golf United,http://discgolfunited.com,Disc golf equipment and ecommerce store,Rock Hill,USA,Fans & Content,Fan Experiences
3855,1274,Discord,http://discordapp.com,Online chat and voice communication platform designed for creating communities,San Francisco,USA,Fans & Content,Fan Experiences
4395,1275,Disney Streaming (Formerly BAMTECH),http://dmedmedia.disney.com,Disney Streaming provides technology services and video streaming,New York City,USA,Management & Organisation,Media & Sponsors
1357,1276,Disrupt Sports,http://disruptsports.com,Platform to design customised sports equipment,Los Angeles,USA,Activity & Performance,For Activity Hardware
2241,1277,District,http://exploredistrict.com,Running and city exploration application,-,-,Activity & Performance,Before / After Activity
3866,1278,Diveboard,http://diveboard.com,Online multimedia logbook for scuba divers to track and share their scuba diving experience,Paris,France,Activity & Performance,For Activity Software
4854,1279,Divegraphy,http://divegraphy.com,Scuba diving and travel platform,Singapore,Singapore,Activity & Performance,Before / After Activity
695,1280,Divinio AI,http://divinio.ai,Transforming cricket through proprietary sensor technology and AI/ML,Boston,USA,Activity & Performance,For Activity Hardware
5898,1281,Divoen Entertainment,http://divoentertainment.com,Sports metaverse and immersive software providers,Rosh Haayin,Israel,Fans & Content,Fan Experiences
4412,1282,Dixper,http://dixper.gg,Enables twitch streamers to interact with their audience,Las Rozas,Spain,Fans & Content,Fan Experiences
1668,1283,Dizplai,http://dizplai.com,"Live graphics and engagement platform empowers broadcasters, sports organisations and brands to create dynamic, interactive, data-rich live content that holds audience attention and drives value",Manchester,UK,Management & Organisation,Media & Sponsors
2798,1284,Doing Now,http://dongyin.net,Personal youth sports training,Beijing,China,Activity & Performance,For Activity Software
2355,1285,Dollar Dollar Dollar,http://DDDGolf.com,"App enabling two or more golfers to challenge, wager and win via digital wallet",Grass Valley,USA,Fans & Content,Fan Experiences
275,1286,Don Potrero,http://donpotrero.com,Don Potrero is an amateur football community where users engage and play real matches for entertainment.,Buenos Aires,Argentina,Activity & Performance,Before / After Activity
3013,1287,Dongamers,http://dongamers.com,DonGamers is a mobile e-sports social platform which is Empowering and Connecting Gamers across the globe.,Arcadia,USA,Fans & Content,Fantasy Sports & Betting
3077,1288,Dongqiudi,http://dongqiudi.com,"News, commentaries, league rankings as well as video streams of football matches",Beijing,China,Fans & Content,Content Platforms
3519,1289,Dongsport,http://dongsport.com,Sports venues and matches booking platform,Beijing,China,Activity & Performance,Before / After Activity
4015,1290,Doppelpass,http://doppelpass.digital,Fan engagement platform,Solingen,Germany,Fans & Content,Fan Experiences
6343,1291,DorsaVi,http://dorsavi.com,Sensor to measure human body movement,Melbourne,Australia,Activity & Performance,For Activity Hardware
6428,1292,DotEsports,http://dotesports.com,Esports news and features platform,Beaconsfield,UK,Fans & Content,Content Platforms
5502,1293,Dothegap,http://dothegap.com,Community that promotes and facilitates cultural exchange activities in all types of disciplines,Barcelona,Spain,Activity & Performance,Before / After Activity
4793,1294,Douyu TV,http://douyu.com,"Live streaming media platform that provides live content such as games, sports, variety shows",Wuhan,China,Fans & Content,Content Platforms
5464,1295,Downdog App,http://downdogapp.com,Online yoga tutorials and classes,San Francisco,USA,Activity & Performance,For Activity Software
1499,1296,Doyou Yoga,http://doyouyoga.com,Onlinie app based yoga training platform,Singapore,Singapore,Activity & Performance,For Activity Software
6092,1297,Draft Analyzer,http://draftanalyzer.com,"Daily fantasy sports strategy, tips and tools",Chicago Heights,USA,Fans & Content,Fantasy Sports & Betting
5591,1298,Draft Dynasty,http://dynastyleaguefootball.com,News and insights for Dynasty Fantasy Football,New York City,USA,Fans & Content,Fantasy Sports & Betting
2884,1299,DraftExpress,http://draftexpress.com,source for scouting information on the top NBA prospects in the world,New York City,USA,Fans & Content,Content Platforms
3776,1300,DraftKings,http://draftkings.com,Online daily and weekly fantasy sports contests for cash prizes in major sports,Boston,USA,Fans & Content,Fantasy Sports & Betting
4757,1301,DraftKings Marketplace,http://marketplace.draftkings.com,DraftKings provides online daily and weekly fantasy sports contests for cash prizes in major sports.,Boston,USA,Fans & Content,Fantasy Sports & Betting
3228,1302,DraftMLS,http://draftmls.com,Daily football fantasy platform,London,UK,Fans & Content,Fantasy Sports & Betting
2948,1303,DraftOps,http://draftops.com,"Daily fantasy sports, strategy and analysis",Santa Monica,USA,Fans & Content,Fantasy Sports & Betting
3439,1304,Draftboard,http://draftboard.com,Daily fantasy sports platform,Las Vegas,USA,Fans & Content,Fantasy Sports & Betting
1990,1305,Draftea,http://draftea.com,Draftea is the first daily fantasy sports (DFS) platform in the Spanish-speaking world.,Mexico City,Mexico,Fans & Content,Fantasy Sports & Betting
680,1306,Drafthedge,http://drafthedge.com,Daily fantasy sports platform,Philadelphia,USA,Fans & Content,Fantasy Sports & Betting
1972,1307,Drafthound,http://drafthound.com,Football fantasy sports platform,Copenhagen,Denmark,Fans & Content,Fantasy Sports & Betting
3032,1308,Draftly,http://draft.ly,Platform to collect NFTs of college sports athletes,-,-,Fans & Content,Fan Experiences
6017,1309,Draftstars,http://draftstars.com.au,Fantasy sports platform,Melbourne,Australia,Fans & Content,Fantasy Sports & Betting
4391,1310,Dream 11,http://dream11.com,India’s biggest fantasy sports platform with 10 Crore+ users,Mumbai,India,Fans & Content,Fantasy Sports & Betting
1059,1311,DreamFight,http://linkedin.com/company/dreamfight,Immersive experiences for the next generation of sports fans,Seattle,USA,Fans & Content,Fan Experiences
2913,1312,Dreamfield,http://dreamfield.co,Championing for athletes through a safe and compliant NIL marketplace,Miami,USA,Fans & Content,Fan Experiences
3578,1313,Dreamstock,http://dreamstock.co.jp,a soccer scouting platform that matches soccer players with club teams,Tokyo,Japan,Activity & Performance,Before / After Activity
1425,1314,Dreamteamcric,http://dreamteamcric.com,Cricket news and live scores platform,Delhi NCR,India,Fans & Content,Content Platforms
